unit_id,school_name,cip_code,cip_description,credential_level,credential_label,median_debt,median_earnings_1yr,median_earnings_4yr,median_earnings_5yr
100654.0,Alabama A & M University,100,"Agriculture, General.",3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,101,Agricultural Business and Management.,3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,109,Animal Sciences.,3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,110,Food Science and Technology.,3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,111,Plant Sciences.,3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,199,"Agriculture, Agriculture Operations, and Related Sciences, Other.",3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,305,Forestry.,3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,403,"City/Urban, Community and Regional Planning.",3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,502,"Ethnic, Cultural Minority, Gender, and Group Studies.",3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,1002,Audiovisual Communications Technologies/Technicians.,3,Bachelor's Degree,33500.0,28938.0,,
100654.0,Alabama A & M University,1101,"Computer and Information Sciences, General.",3,Bachelor's Degree,30100.0,63900.0,68138.0,85218.0
100654.0,Alabama A & M University,1310,Special Education and Teaching.,3,Bachelor's Degree,27250.0,,,
100654.0,Alabama A & M University,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,1313,"Teacher Education and Professional Development, Specific Subject Areas.",3,Bachelor's Degree,,,38288.0,44468.0
100654.0,Alabama A & M University,1408,Civil Engineering.,3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,1410,"Electrical, Electronics and Communications Engineering.",3,Bachelor's Degree,32500.0,72241.0,75489.0,90409.0
100654.0,Alabama A & M University,1419,Mechanical Engineering.,3,Bachelor's Degree,27100.0,71954.0,70527.0,82929.0
100654.0,Alabama A & M University,1503,Electrical Engineering Technologies/Technicians.,3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,1506,Industrial Production Technologies/Technicians.,3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,1508,Mechanical Engineering Related Technologies/Technicians.,3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,1510,Construction Engineering Technologies.,3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,1901,"Family and Consumer Sciences/Human Sciences, General.",3,Bachelor's Degree,38906.0,,,
100654.0,Alabama A & M University,2301,"English Language and Literature, General.",3,Bachelor's Degree,,,,
100654.0,Alabama A & M University,2401,"Liberal Arts and Sciences, General Studies and Humanities.",3,Bachelor's Degree,31000.0,28877.0,39750.0,46627.0
