cip4,hours_per_week,time_pressure,decision_autonomy,decision_frequency,precision_required,physical_standing,physical_sitting,outdoor_work,indoor_climate_controlled,teamwork_required,customer_facing,phone_use,email_use,n_routing_socs,n_routing_socs_with_context,pct_routing_emp_with_context
01.00,2.570565307567786,3.5119088931606637,4.22910486645083,3.277604073101638,4.101664558883043,2.9631389915705104,3.1422973998381223,3.14016863297174,4.22720799074138,4.160130488668555,3.3046231282881426,4.338097910764873,4.797540722379603,5,5,1.0
01.01,2.524143503938479,3.858320674128757,4.321387010318009,4.249990440451873,4.012790304948606,2.374646059985105,3.868946727787054,1.8823363719166157,4.321032471797137,4.561913020452526,3.9173498749168676,4.8713866866379,4.713113307134928,10,9,1.0
01.02,2.292701405825551,3.895891777209367,4.138875934408026,4.143055737314854,4.339125175976047,3.938497610691413,2.2885190252414094,3.572086728927488,2.7913364265461107,4.103227450280571,3.3298278904685428,3.8133172724208353,3.8322273114825616,6,6,1.0
01.03,2.399259406058223,3.185793472293915,4.2891522667125495,3.517921603208547,3.6227837487402605,3.1905730075625365,2.752974580320785,3.981012042294488,3.2660117105496127,4.0554899364189785,3.5156421601160193,4.346220974772428,3.903820115281567,10,10,1.0
01.04,2.5126162430254184,3.951137631742095,4.365216986980781,4.077599194048357,4.240492870427774,3.315478921264724,2.7667916924984506,3.409229696218227,4.006407315561066,4.226849039057656,3.077991320520769,4.277244265344079,4.051692498450093,4,4,1.0
01.05,1.7564154244356038,3.357973206154436,3.914165747974884,3.982848104299477,3.683125629104156,4.089133873364329,1.862648228922015,3.299692997172027,4.5807077122178015,4.323851315726405,3.6627714135071656,3.8861424531467192,3.723329818338686,4,4,1.0
01.06,2.1722766610031115,3.815557624837265,3.5583397250601294,3.601897438160595,3.6552526754782764,4.019411637503033,2.131304662503586,3.51230503762219,3.2335774399258588,4.402711710320174,3.5382240561353955,3.7460354376751472,2.9982077274432353,9,9,1.0
01.07,2.6216514954486345,3.754408322496749,4.232834850455137,3.414915474642393,4.284577373211964,2.9727178153446037,3.412028608582575,2.004148244473342,4.810975292587777,4.337542262678804,3.079661898569571,4.407672301690507,4.940169050715214,2,2,1.0
01.08,2.1823012552301257,4.168734924932316,4.511907457543686,3.8571006645335957,4.462131429977849,2.3570785134137338,3.8348781688407585,2.0167905488555253,4.6020403642628605,4.337587989170564,3.8335786364755102,4.447696283534333,4.6890745754368695,3,3,1.0
01.09,2.6281186430477264,3.5928368808554176,4.442097217485505,3.771882854216831,3.8873769735390304,2.960265275156613,3.0011326659578312,3.987820873335823,3.628053746904552,4.187561718859711,3.4883304913033877,4.4557894958573225,4.224225530122173,6,6,1.0
01.10,2.377948408795253,3.8655135323793512,3.979327029856903,3.178028048354856,4.104727290033949,3.8704495986293113,2.138582669670337,1.7509782022400606,3.8063686264555643,4.162961893581242,2.1711517593679606,3.194588317415998,2.4495776882317477,8,8,1.0
01.11,2.5243525594329648,3.464289360958708,4.34432623638264,3.5002724864616854,3.7539555000651634,2.8803843626876686,3.0648532946436355,3.9448583423117594,3.8449833297171634,4.19320936323196,3.6650747462720705,4.463201799762046,4.472841445850589,9,9,1.0
01.12,2.5134179894179898,3.630897546897547,4.21372126022126,3.2959070378582576,4.19503391053391,2.807737209493307,3.2650026455026455,3.0420037776135342,4.28243278311571,4.09862239057239,3.2154446849446847,4.215413636363636,4.829265993265993,4,4,1.0
01.13,2.5571428571428574,3.3085714285714287,4.020714285714286,3.46219512195122,4.013571428571429,3.0609756097560976,2.9392857142857145,4.067560975609756,3.319268292682927,4.0005,3.5335714285714284,4.2705,4.576666666666666,1,1,1.0
01.80,2.355196068954406,3.899117448042533,4.811813758659579,4.113823102948285,4.024460447881424,2.982940550990817,3.454706621556307,1.3723528274528758,4.712744965361688,4.546127275656517,3.917205413243113,4.518480103109392,4.7812746898662795,2,2,1.0
01.81,2.358550284508663,3.897150437951538,4.808483153251071,4.110792468512244,4.02632024806598,2.980943354005498,3.4545115401828523,1.38725752829103,4.706801355412057,4.543157406815421,3.914463908957228,4.52022920529378,4.783001726232338,3,3,1.0
01.82,2.366285146590048,3.8628955579206448,4.3522204029228355,4.415628717380937,4.210038374222088,2.509360958095037,3.7128007724225394,1.9683953389549687,4.272524992625339,4.53333708888707,4.23427599031613,4.851396117355207,4.7637334492486945,6,6,1.0
01.83,2.045558782063422,3.8345731540517227,4.160926288323549,4.012877554026471,4.1848086189844915,3.601860572775288,2.887566441512531,1.8333400669149675,4.643363213601835,4.44711697493845,3.7320857269111802,4.353031584706353,4.233873282410622,3,3,1.0
03.01,2.2981822494031703,3.8408957314625654,4.089254016674068,3.684158002330163,4.166825570818609,2.370889050651565,3.9864403751024553,2.6784017518090097,4.168738981839156,4.147612687267528,3.8784120459999554,4.75007295038284,4.887950113621087,8,8,1.0
03.02,2.4371183189511934,3.7195429258340407,4.229700715274771,4.121718595099803,4.2666396912027675,2.701328487967522,3.533329294023553,3.4365110449925456,3.969572226712766,4.459765502345722,4.214506197770805,4.593161151793287,4.601910011131918,19,19,1.0
03.03,2.66,3.88,4.45,4.2,3.96,3.2,2.6600000000000006,4.49,3.3899999999999997,4.13,3.23,4.56,3.66,2,1,1.0
03.05,2.436216105857834,3.5773073091726735,4.259810484661055,3.9159741110345307,3.7619167343784468,3.1326792489541786,2.832632204355621,4.270823777180057,3.7766332370345617,4.366978072344956,3.793903199330236,4.598536904861409,4.474397725980359,6,6,1.0
03.06,2.282039103631373,3.2428278938808566,4.085310810550202,3.390143287842069,3.6308745122492136,2.6464628023733456,3.44520913477212,3.677790416621133,4.223558430734427,4.313317573170654,4.147136235946028,4.608761032649572,4.94073350647013,3,3,1.0
03.99,2.64,3.85,4.77,3.51,3.7,2.79,3.48,3.2,4.24,4.57,4.02,4.04,5.0,1,1,1.0
04.02,2.764906879267133,3.6013195056607032,4.279757399565325,3.759988049173031,4.024710828796128,2.2818313809602375,3.891227162734423,2.357423763751653,4.387952208106473,4.607351827845475,3.354650851266096,4.654504969319851,4.946836358136721,3,3,1.0
04.03,2.678886149659864,3.580077061224489,4.377177128747796,3.78123599640611,3.934238476190476,2.3337769696969697,3.7067691428571434,2.214296747795415,4.437003428571428,4.591493006802721,3.3940265578231297,4.56786187755102,4.954213714285714,4,3,0.9373660905584916
04.04,2.6927532720088903,3.6882731818743055,4.149580372291046,3.664627158722135,3.9726326707000865,2.322546358136246,3.952342912705273,2.2841488684016777,4.414176318063958,4.561708112112607,3.5502285467341648,4.695912149648104,4.956008859118409,6,6,1.0
04.05,2.673231436083982,3.728626586532758,4.344927332882287,3.896004183007902,4.086006089122613,2.483675112598445,3.7410396484915585,2.1083292841693066,4.4318931635759755,4.582397295480606,3.407973883990352,4.614391581985687,4.948788748962082,3,3,1.0
04.06,2.711835735800344,3.6130038009179573,4.4274322134215875,3.889683940163169,4.053327476572958,2.3829168948521353,3.6840641733601074,2.2658354095393927,4.454405120481928,4.60472270032511,3.2554709313444254,4.53589919200612,4.949720130522088,3,3,1.0
04.08,2.773667747163695,3.598481361426256,3.9234262560777955,3.376568881685575,3.9313662884927063,2.1176920583468393,4.304792544570502,2.5832042139384117,4.318876823338736,4.531815235008104,3.5837633711507295,4.758411669367909,4.9256223662884935,3,3,1.0
04.09,2.574703547873056,3.854285366923281,4.225181290223082,3.7217715238339384,4.251490532202668,2.3129189220554225,3.92872465882496,2.2594489416622485,4.511575635998906,4.564198092111833,3.173565458279601,4.50015301315201,4.940161697212851,3,3,1.0
04.10,2.7229465224964216,4.102874092469002,4.375771638470692,4.062728715056823,3.9144030558573473,2.453922948247021,3.620480624967666,3.1487521340990225,4.030691189404521,4.010010864504113,4.065260489420042,4.940173487160915,4.974421853173987,6,4,0.9706399290269664
05.01,2.71,4.03,4.65,3.68,3.5499999999999994,2.66,3.91,1.27,4.49,4.19,3.16,3.33,4.9,1,1,1.0
05.02,1.977010341102022,4.021764161135978,4.164085507022689,4.371810464577867,4.661838246643001,2.7094150331841336,3.6629248340793334,1.8053295261614448,4.177038123167155,4.618263620929156,2.945868189535422,3.585311004784689,4.587038123167155,2,2,1.0
05.99,2.71,4.03,4.65,3.68,3.5499999999999994,2.66,3.91,1.27,4.49,4.19,3.16,3.33,4.9,1,1,1.0
09.01,2.5223507433032535,4.326352338186601,4.0711927548721665,4.015142172344728,4.109203973329705,2.1952635104723823,4.108564581726917,1.838354494419265,4.25842662470503,4.3084809492075795,3.8474902103082806,4.630453634601137,4.924021862384905,10,8,0.8690641999316743
09.04,2.238060470045805,4.361351401522183,4.232335870305055,3.8357517610622063,4.173554235505229,2.1822094501006695,4.143100365076419,2.1180315146149558,4.32090790745051,3.9275298082277845,3.5499681331600765,4.382735098266006,4.8752159519831695,8,8,1.0
09.07,2.586463404826747,3.9952208135739804,4.220692345506364,3.8554808114957937,3.985284813355001,2.162565196998425,4.039533979487765,2.137664820928676,4.481609547045024,4.4779065881085875,3.368016682860806,4.523580851134501,4.867249201385689,8,7,0.977203104011442
09.09,2.4575152380141807,4.025298115134572,4.208612767851882,3.740154507898889,3.7774263305028706,2.3741471622267465,4.01507820325645,1.660508828555155,4.218676993381038,4.395834375388725,3.5542581984117114,4.637984523022331,4.955908879621325,17,15,0.943714358090366
09.10,2.2,4.57,4.07,4.33,4.44,1.88,4.4,1.63,4.9,4.58,3.71,4.53,4.89,1,1,1.0
09.99,2.175307784445376,4.233657122985974,4.225546539932769,3.9134292582040477,4.134760635215023,1.9851149789123588,4.309830184305088,1.5641384383554315,4.26950477481253,3.9117131367531273,3.313229396082068,4.199707537159722,4.843453691897531,3,3,1.0
10.01,2.3100428639466584,4.335380219082394,4.023667248769645,3.2488410858866485,4.371516113668836,2.114102238450548,4.344702333703762,2.167686934434037,4.920238133036991,4.40645181774885,2.895615177012224,4.447886966185109,4.965099222098745,4,3,0.7275352275352275
10.02,2.093268688293371,4.093708862247297,4.12987658674189,3.427509990597085,4.496723084156089,2.3649089092618714,3.906000822755054,1.9112188528443819,4.765108133521391,4.521383991537377,3.455230371415139,4.307462976022567,4.742467677480018,8,6,0.9028971665074816
10.03,2.1827416723519115,4.532360513748406,4.283594459110728,3.7428831607985047,4.736513214486993,2.863721709726218,3.3803188680924268,1.1206846023789043,4.562633702132708,4.151661376916916,2.7634227152730397,3.482880787826654,3.495412452169786,6,6,1.0
11.01,2.338234689705194,3.64359922145296,4.188123066155597,3.0626515310354385,4.191086703886276,1.8110844481428716,4.612230264685549,1.1797592695413537,3.9805155032081228,4.487745615018647,2.4587893962317127,4.114428521304387,4.8053056244525685,14,14,1.0
11.02,2.1913754888620747,3.634090951879712,4.213535424850024,2.6133131798071076,4.2269059844419905,1.5976772954053384,4.823792200456984,1.0687448332520346,3.563401752629372,4.521459098183187,2.1082609346786128,3.6077068196794264,4.6337881783095,7,7,1.0
11.03,2.3899,3.9119607843137256,4.02960396039604,3.4448484848484844,4.117058823529412,2.063061224489796,4.4002,1.3535353535353536,4.428979591836735,4.2993814432989685,3.0788118811881198,4.592142857142857,4.94107843137255,1,1,1.0
11.04,2.285020434908692,3.5609108881145124,4.256220586479782,2.956974341955675,4.143364350847113,1.5996909778189572,4.769330414145527,1.1031594684456074,3.6315755472709847,4.55884932308261,2.38330144080704,3.8632277720192705,4.714106154268994,7,7,1.0
11.05,2.4944109484462946,3.8668577644852897,4.111672809428719,3.3236292984235583,4.363926249942273,2.2699523042498226,4.215485136378964,1.3232350448612835,4.542829600899693,4.471471958631253,2.966168677903013,4.62261209140644,4.987858112482044,6,6,1.0
11.06,1.9157935905668086,4.15741988208511,4.34122759908937,3.176466055688518,4.830039110384683,1.5615089603642522,4.892103204716595,1.0126192282995738,4.102103204716596,4.05,2.7858793999182763,4.352462786760842,4.417779464129357,2,2,1.0
